task_id,frame,track_id,bb_left,bb_top,bb_width,bb_height,conf,class_id,visibility,area,speed,tracking_persistence,bbox_left,bbox_top,bbox_width,bbox_height,center_cx,center_cy,shape_perimeter,shape_circularity,shape_circularity_increment,shape_aspect_ratio,shape_shape_change_rate,shape_spreading_index,shape_protrusion_activity_index,motion_vx,motion_vy,motion_distance,motion_migration_speed,motion_mean_square_displacement,motion_turning_angle,motion_persistence_index
example_task_id,2,1,2033.0,700.0,133.0,108.0,1.0,0,1.0,14364.0,0.0,0.98,2033.0,700.0,133.0,108.0,2099.5,754.0,482.0,0.7769466241311925,0.0,1.2314814814814814,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98
example_task_id,3,1,2032.0,700.0,133.0,108.0,1.0,0,1.0,14364.0,1.0,0.98,2032.0,700.0,133.0,108.0,2098.5,754.0,482.0,0.7769466241311925,0.0,1.2314814814814814,0.0,1.0,0.0,-1.0,0.0,1.0,1.0,1.0,0.0,0.98
example_task_id,4,1,2035.0,699.0,131.0,106.0,1.0,0,1.0,13886.0,2.8284271247461903,0.98,2035.0,699.0,131.0,106.0,2100.5,752.0,474.0,0.7766589326451934,-0.00028769148599916416,1.2358490566037736,-0.033277638540796434,0.9667223614592035,-0.016597510373443983,2.0,-2.0,2.8284271247461903,2.8284271247461903,10.0,2.356194490192345,0.98
example_task_id,5,1,2035.0,698.0,129.0,105.0,1.0,0,1.0,13545.0,1.8027756377319946,0.98,2035.0,698.0,129.0,105.0,2099.5,750.5,468.0,0.7771362497785402,0.0004773171333468662,1.2285714285714286,-0.024557107878438716,0.9429824561403509,-0.012658227848101266,-1.0,-1.5,1.8027756377319946,1.8027756377319946,1.0,-1.3734007669450157,0.98
example_task_id,6,1,2039.0,698.0,122.0,100.0,1.0,0,1.0,12200.0,2.5495097567963922,0.98,2039.0,698.0,122.0,100.0,2100.0,748.0,444.0,0.7776850574992995,0.0005488077207592701,1.22,-0.09929863418235511,0.8493455861876914,-0.05128205128205128,0.5,-2.5,2.5495097567963922,2.5495097567963922,16.0,0.7853981633974481,0.98
example_task_id,7,1,2035.0,697.0,127.0,104.0,1.0,0,1.0,13208.0,1.8027756377319946,0.98,2035.0,697.0,127.0,104.0,2098.5,749.0,462.0,0.7776120344186576,-7.302308064194296e-05,1.2211538461538463,0.08262295081967214,0.9195210247841826,0.04054054054054054,-1.5,1.0,1.8027756377319946,1.8027756377319946,17.0,-2.356194490192345,0.98
example_task_id,8,1,2034.0,697.0,128.0,106.0,1.0,0,1.0,13568.0,1.118033988749895,0.98,2034.0,697.0,128.0,106.0,2098.0,750.0,468.0,0.7784558609815603,0.0008438265629027164,1.2075471698113207,0.027256208358570563,0.9445836814257866,0.012987012987012988,-0.5,1.0,1.118033988749895,1.118033988749895,1.0,-0.519146114246523,0.98
example_task_id,9,1,2032.0,697.0,128.0,107.0,1.0,0,1.0,13696.0,2.0615528128088303,0.98,2032.0,697.0,128.0,107.0,2096.0,750.5,470.0,0.7791263555195257,0.0006704945379654159,1.1962616822429906,0.009433962264150943,0.9534948482316903,0.004273504273504274,-2.0,0.5,2.0615528128088303,2.0615528128088303,4.0,0.8621700546672262,0.98
example_task_id,10,1,2034.0,695.0,129.0,108.0,1.0,0,1.0,13932.0,2.9154759474226504,0.98,2034.0,695.0,129.0,108.0,2098.5,749.0,474.0,0.7792317621786572,0.00010540665913150171,1.1944444444444444,0.01723130841121495,0.9699248120300752,0.00851063829787234,2.5,-1.5,2.9154759474226504,2.9154759474226504,8.0,2.8461518164460733,0.98
example_task_id,11,1,2039.0,693.0,124.0,104.0,1.0,0,1.0,12896.0,4.716990566028302,0.98,2039.0,693.0,124.0,104.0,2101.0,745.0,456.0,0.7793547795609027,0.00012301738224551606,1.1923076923076923,-0.07436118288831467,0.8978000556947925,-0.0379746835443038,2.5,-4.0,4.716990566028302,4.716990566028302,29.0,-0.47177751118074995,0.98
